name,inst,root,pitch,octave,inversion,quality,quality_idx,bpm
AcousticGrandPiano-fs3-minor7_inv2,AcousticGrandPiano,fs3,fs,3,2,minor7,1,60
AcousticGrandPiano-fs3-minor7_inv3,AcousticGrandPiano,fs3,fs,3,3,minor7,1,60
AcousticGrandPiano-g3-minor7_inv0,AcousticGrandPiano,g3,g,3,0,minor7,1,60
AcousticGrandPiano-g3-minor7_inv1,AcousticGrandPiano,g3,g,3,1,minor7,1,60
AcousticGrandPiano-g3-minor7_inv2,AcousticGrandPiano,g3,g,3,2,minor7,1,60
AcousticGrandPiano-g3-minor7_inv3,AcousticGrandPiano,g3,g,3,3,minor7,1,60
AcousticGrandPiano-gs3-minor7_inv0,AcousticGrandPiano,gs3,gs,3,0,minor7,1,60
AcousticGrandPiano-gs3-minor7_inv1,AcousticGrandPiano,gs3,gs,3,1,minor7,1,60
AcousticGrandPiano-gs3-minor7_inv2,AcousticGrandPiano,gs3,gs,3,2,minor7,1,60
AcousticGrandPiano-gs3-minor7_inv3,AcousticGrandPiano,gs3,gs,3,3,minor7,1,60
AcousticGrandPiano-a3-minor7_inv0,AcousticGrandPiano,a3,a,3,0,minor7,1,60
AcousticGrandPiano-a3-minor7_inv1,AcousticGrandPiano,a3,a,3,1,minor7,1,60
AcousticGrandPiano-a3-minor7_inv2,AcousticGrandPiano,a3,a,3,2,minor7,1,60
AcousticGrandPiano-a3-minor7_inv3,AcousticGrandPiano,a3,a,3,3,minor7,1,60
AcousticGrandPiano-as3-minor7_inv0,AcousticGrandPiano,as3,as,3,0,minor7,1,60
AcousticGrandPiano-as3-minor7_inv1,AcousticGrandPiano,as3,as,3,1,minor7,1,60
AcousticGrandPiano-as3-minor7_inv2,AcousticGrandPiano,as3,as,3,2,minor7,1,60
AcousticGrandPiano-as3-minor7_inv3,AcousticGrandPiano,as3,as,3,3,minor7,1,60
AcousticGrandPiano-b3-minor7_inv0,AcousticGrandPiano,b3,b,3,0,minor7,1,60
AcousticGrandPiano-b3-minor7_inv1,AcousticGrandPiano,b3,b,3,1,minor7,1,60
AcousticGrandPiano-b3-minor7_inv2,AcousticGrandPiano,b3,b,3,2,minor7,1,60
AcousticGrandPiano-b3-minor7_inv3,AcousticGrandPiano,b3,b,3,3,minor7,1,60
AcousticGrandPiano-c4-majorminor7_inv0,AcousticGrandPiano,c4,c,4,0,majorminor7,2,60
AcousticGrandPiano-c4-majorminor7_inv1,AcousticGrandPiano,c4,c,4,1,majorminor7,2,60
AcousticGrandPiano-c3-majorminor7_inv2,AcousticGrandPiano,c3,c,3,2,majorminor7,2,60
AcousticGrandPiano-c3-majorminor7_inv3,AcousticGrandPiano,c3,c,3,3,majorminor7,2,60
AcousticGrandPiano-cs4-majorminor7_inv0,AcousticGrandPiano,cs4,cs,4,0,majorminor7,2,60
AcousticGrandPiano-cs4-majorminor7_inv1,AcousticGrandPiano,cs4,cs,4,1,majorminor7,2,60
AcousticGrandPiano-cs3-majorminor7_inv2,AcousticGrandPiano,cs3,cs,3,2,majorminor7,2,60
AcousticGrandPiano-cs3-majorminor7_inv3,AcousticGrandPiano,cs3,cs,3,3,majorminor7,2,60
AcousticGrandPiano-d4-majorminor7_inv0,AcousticGrandPiano,d4,d,4,0,majorminor7,2,60
AcousticGrandPiano-d3-majorminor7_inv1,AcousticGrandPiano,d3,d,3,1,majorminor7,2,60
AcousticGrandPiano-d3-majorminor7_inv2,AcousticGrandPiano,d3,d,3,2,majorminor7,2,60
AcousticGrandPiano-d3-majorminor7_inv3,AcousticGrandPiano,d3,d,3,3,majorminor7,2,60
AcousticGrandPiano-ds4-majorminor7_inv0,AcousticGrandPiano,ds4,ds,4,0,majorminor7,2,60
AcousticGrandPiano-ds3-majorminor7_inv1,AcousticGrandPiano,ds3,ds,3,1,majorminor7,2,60
AcousticGrandPiano-ds3-majorminor7_inv2,AcousticGrandPiano,ds3,ds,3,2,majorminor7,2,60
AcousticGrandPiano-ds3-majorminor7_inv3,AcousticGrandPiano,ds3,ds,3,3,majorminor7,2,60
AcousticGrandPiano-e4-majorminor7_inv0,AcousticGrandPiano,e4,e,4,0,majorminor7,2,60
AcousticGrandPiano-e3-majorminor7_inv1,AcousticGrandPiano,e3,e,3,1,majorminor7,2,60
AcousticGrandPiano-e3-majorminor7_inv2,AcousticGrandPiano,e3,e,3,2,majorminor7,2,60
AcousticGrandPiano-e3-majorminor7_inv3,AcousticGrandPiano,e3,e,3,3,majorminor7,2,60
AcousticGrandPiano-f4-majorminor7_inv0,AcousticGrandPiano,f4,f,4,0,majorminor7,2,60
AcousticGrandPiano-f3-majorminor7_inv1,AcousticGrandPiano,f3,f,3,1,majorminor7,2,60
AcousticGrandPiano-f3-majorminor7_inv2,AcousticGrandPiano,f3,f,3,2,majorminor7,2,60
AcousticGrandPiano-f3-majorminor7_inv3,AcousticGrandPiano,f3,f,3,3,majorminor7,2,60
AcousticGrandPiano-fs3-majorminor7_inv0,AcousticGrandPiano,fs3,fs,3,0,majorminor7,2,60
AcousticGrandPiano-fs3-majorminor7_inv1,AcousticGrandPiano,fs3,fs,3,1,majorminor7,2,60
AcousticGrandPiano-fs3-majorminor7_inv2,AcousticGrandPiano,fs3,fs,3,2,majorminor7,2,60
AcousticGrandPiano-fs3-majorminor7_inv3,AcousticGrandPiano,fs3,fs,3,3,majorminor7,2,60
AcousticGrandPiano-g3-majorminor7_inv0,AcousticGrandPiano,g3,g,3,0,majorminor7,2,60
AcousticGrandPiano-g3-majorminor7_inv1,AcousticGrandPiano,g3,g,3,1,majorminor7,2,60
AcousticGrandPiano-g3-majorminor7_inv2,AcousticGrandPiano,g3,g,3,2,majorminor7,2,60
AcousticGrandPiano-g3-majorminor7_inv3,AcousticGrandPiano,g3,g,3,3,majorminor7,2,60
AcousticGrandPiano-gs3-majorminor7_inv0,AcousticGrandPiano,gs3,gs,3,0,majorminor7,2,60
AcousticGrandPiano-gs3-majorminor7_inv1,AcousticGrandPiano,gs3,gs,3,1,majorminor7,2,60
AcousticGrandPiano-gs3-majorminor7_inv2,AcousticGrandPiano,gs3,gs,3,2,majorminor7,2,60
AcousticGrandPiano-gs3-majorminor7_inv3,AcousticGrandPiano,gs3,gs,3,3,majorminor7,2,60
AcousticGrandPiano-a3-majorminor7_inv0,AcousticGrandPiano,a3,a,3,0,majorminor7,2,60
AcousticGrandPiano-a3-majorminor7_inv1,AcousticGrandPiano,a3,a,3,1,majorminor7,2,60
AcousticGrandPiano-a3-majorminor7_inv2,AcousticGrandPiano,a3,a,3,2,majorminor7,2,60
AcousticGrandPiano-a3-majorminor7_inv3,AcousticGrandPiano,a3,a,3,3,majorminor7,2,60
AcousticGrandPiano-as3-majorminor7_inv0,AcousticGrandPiano,as3,as,3,0,majorminor7,2,60
AcousticGrandPiano-as3-majorminor7_inv1,AcousticGrandPiano,as3,as,3,1,majorminor7,2,60
AcousticGrandPiano-as3-majorminor7_inv2,AcousticGrandPiano,as3,as,3,2,majorminor7,2,60
AcousticGrandPiano-as3-majorminor7_inv3,AcousticGrandPiano,as3,as,3,3,majorminor7,2,60
AcousticGrandPiano-b3-majorminor7_inv0,AcousticGrandPiano,b3,b,3,0,majorminor7,2,60
AcousticGrandPiano-b3-majorminor7_inv1,AcousticGrandPiano,b3,b,3,1,majorminor7,2,60
AcousticGrandPiano-b3-majorminor7_inv2,AcousticGrandPiano,b3,b,3,2,majorminor7,2,60
AcousticGrandPiano-b3-majorminor7_inv3,AcousticGrandPiano,b3,b,3,3,majorminor7,2,60
AcousticGrandPiano-c4-minormajor7_inv0,AcousticGrandPiano,c4,c,4,0,minormajor7,3,60
AcousticGrandPiano-c4-minormajor7_inv1,AcousticGrandPiano,c4,c,4,1,minormajor7,3,60
AcousticGrandPiano-c3-minormajor7_inv2,AcousticGrandPiano,c3,c,3,2,minormajor7,3,60
AcousticGrandPiano-c3-minormajor7_inv3,AcousticGrandPiano,c3,c,3,3,minormajor7,3,60
AcousticGrandPiano-cs4-minormajor7_inv0,AcousticGrandPiano,cs4,cs,4,0,minormajor7,3,60
AcousticGrandPiano-cs4-minormajor7_inv1,AcousticGrandPiano,cs4,cs,4,1,minormajor7,3,60
AcousticGrandPiano-cs3-minormajor7_inv2,AcousticGrandPiano,cs3,cs,3,2,minormajor7,3,60
AcousticGrandPiano-cs3-minormajor7_inv3,AcousticGrandPiano,cs3,cs,3,3,minormajor7,3,60
AcousticGrandPiano-d4-minormajor7_inv0,AcousticGrandPiano,d4,d,4,0,minormajor7,3,60
AcousticGrandPiano-d4-minormajor7_inv1,AcousticGrandPiano,d4,d,4,1,minormajor7,3,60
AcousticGrandPiano-d3-minormajor7_inv2,AcousticGrandPiano,d3,d,3,2,minormajor7,3,60
AcousticGrandPiano-d3-minormajor7_inv3,AcousticGrandPiano,d3,d,3,3,minormajor7,3,60
AcousticGrandPiano-ds4-minormajor7_inv0,AcousticGrandPiano,ds4,ds,4,0,minormajor7,3,60
AcousticGrandPiano-ds3-minormajor7_inv1,AcousticGrandPiano,ds3,ds,3,1,minormajor7,3,60
AcousticGrandPiano-ds3-minormajor7_inv2,AcousticGrandPiano,ds3,ds,3,2,minormajor7,3,60
AcousticGrandPiano-ds3-minormajor7_inv3,AcousticGrandPiano,ds3,ds,3,3,minormajor7,3,60
AcousticGrandPiano-e4-minormajor7_inv0,AcousticGrandPiano,e4,e,4,0,minormajor7,3,60
AcousticGrandPiano-e3-minormajor7_inv1,AcousticGrandPiano,e3,e,3,1,minormajor7,3,60
AcousticGrandPiano-e3-minormajor7_inv2,AcousticGrandPiano,e3,e,3,2,minormajor7,3,60
AcousticGrandPiano-e3-minormajor7_inv3,AcousticGrandPiano,e3,e,3,3,minormajor7,3,60
AcousticGrandPiano-f4-minormajor7_inv0,AcousticGrandPiano,f4,f,4,0,minormajor7,3,60
AcousticGrandPiano-f3-minormajor7_inv1,AcousticGrandPiano,f3,f,3,1,minormajor7,3,60
AcousticGrandPiano-f3-minormajor7_inv2,AcousticGrandPiano,f3,f,3,2,minormajor7,3,60
AcousticGrandPiano-f3-minormajor7_inv3,AcousticGrandPiano,f3,f,3,3,minormajor7,3,60
AcousticGrandPiano-fs3-minormajor7_inv0,AcousticGrandPiano,fs3,fs,3,0,minormajor7,3,60
AcousticGrandPiano-fs3-minormajor7_inv1,AcousticGrandPiano,fs3,fs,3,1,minormajor7,3,60
AcousticGrandPiano-fs3-minormajor7_inv2,AcousticGrandPiano,fs3,fs,3,2,minormajor7,3,60
AcousticGrandPiano-fs3-minormajor7_inv3,AcousticGrandPiano,fs3,fs,3,3,minormajor7,3,60
AcousticGrandPiano-g3-minormajor7_inv0,AcousticGrandPiano,g3,g,3,0,minormajor7,3,60
AcousticGrandPiano-g3-minormajor7_inv1,AcousticGrandPiano,g3,g,3,1,minormajor7,3,60
AcousticGrandPiano-g3-minormajor7_inv2,AcousticGrandPiano,g3,g,3,2,minormajor7,3,60
AcousticGrandPiano-g3-minormajor7_inv3,AcousticGrandPiano,g3,g,3,3,minormajor7,3,60
AcousticGrandPiano-gs3-minormajor7_inv0,AcousticGrandPiano,gs3,gs,3,0,minormajor7,3,60
AcousticGrandPiano-gs3-minormajor7_inv1,AcousticGrandPiano,gs3,gs,3,1,minormajor7,3,60
AcousticGrandPiano-gs3-minormajor7_inv2,AcousticGrandPiano,gs3,gs,3,2,minormajor7,3,60
AcousticGrandPiano-gs3-minormajor7_inv3,AcousticGrandPiano,gs3,gs,3,3,minormajor7,3,60
AcousticGrandPiano-a3-minormajor7_inv0,AcousticGrandPiano,a3,a,3,0,minormajor7,3,60
AcousticGrandPiano-a3-minormajor7_inv1,AcousticGrandPiano,a3,a,3,1,minormajor7,3,60
AcousticGrandPiano-a3-minormajor7_inv2,AcousticGrandPiano,a3,a,3,2,minormajor7,3,60
AcousticGrandPiano-a3-minormajor7_inv3,AcousticGrandPiano,a3,a,3,3,minormajor7,3,60
AcousticGrandPiano-as3-minormajor7_inv0,AcousticGrandPiano,as3,as,3,0,minormajor7,3,60
AcousticGrandPiano-as3-minormajor7_inv1,AcousticGrandPiano,as3,as,3,1,minormajor7,3,60
AcousticGrandPiano-as3-minormajor7_inv2,AcousticGrandPiano,as3,as,3,2,minormajor7,3,60
AcousticGrandPiano-as3-minormajor7_inv3,AcousticGrandPiano,as3,as,3,3,minormajor7,3,60
AcousticGrandPiano-b3-minormajor7_inv0,AcousticGrandPiano,b3,b,3,0,minormajor7,3,60
AcousticGrandPiano-b3-minormajor7_inv1,AcousticGrandPiano,b3,b,3,1,minormajor7,3,60
AcousticGrandPiano-b3-minormajor7_inv2,AcousticGrandPiano,b3,b,3,2,minormajor7,3,60
AcousticGrandPiano-b3-minormajor7_inv3,AcousticGrandPiano,b3,b,3,3,minormajor7,3,60
AcousticGrandPiano-c4-halfdim7_inv0,AcousticGrandPiano,c4,c,4,0,halfdim7,4,60
AcousticGrandPiano-c4-halfdim7_inv1,AcousticGrandPiano,c4,c,4,1,halfdim7,4,60
AcousticGrandPiano-c3-halfdim7_inv2,AcousticGrandPiano,c3,c,3,2,halfdim7,4,60
AcousticGrandPiano-c3-halfdim7_inv3,AcousticGrandPiano,c3,c,3,3,halfdim7,4,60
AcousticGrandPiano-cs4-halfdim7_inv0,AcousticGrandPiano,cs4,cs,4,0,halfdim7,4,60
AcousticGrandPiano-cs4-halfdim7_inv1,AcousticGrandPiano,cs4,cs,4,1,halfdim7,4,60
AcousticGrandPiano-cs3-halfdim7_inv2,AcousticGrandPiano,cs3,cs,3,2,halfdim7,4,60
AcousticGrandPiano-cs3-halfdim7_inv3,AcousticGrandPiano,cs3,cs,3,3,halfdim7,4,60
AcousticGrandPiano-d4-halfdim7_inv0,AcousticGrandPiano,d4,d,4,0,halfdim7,4,60
AcousticGrandPiano-d4-halfdim7_inv1,AcousticGrandPiano,d4,d,4,1,halfdim7,4,60
AcousticGrandPiano-d3-halfdim7_inv2,AcousticGrandPiano,d3,d,3,2,halfdim7,4,60
AcousticGrandPiano-d3-halfdim7_inv3,AcousticGrandPiano,d3,d,3,3,halfdim7,4,60
AcousticGrandPiano-ds4-halfdim7_inv0,AcousticGrandPiano,ds4,ds,4,0,halfdim7,4,60
AcousticGrandPiano-ds3-halfdim7_inv1,AcousticGrandPiano,ds3,ds,3,1,halfdim7,4,60
AcousticGrandPiano-ds3-halfdim7_inv2,AcousticGrandPiano,ds3,ds,3,2,halfdim7,4,60
AcousticGrandPiano-ds3-halfdim7_inv3,AcousticGrandPiano,ds3,ds,3,3,halfdim7,4,60
AcousticGrandPiano-e4-halfdim7_inv0,AcousticGrandPiano,e4,e,4,0,halfdim7,4,60
AcousticGrandPiano-e3-halfdim7_inv1,AcousticGrandPiano,e3,e,3,1,halfdim7,4,60
AcousticGrandPiano-e3-halfdim7_inv2,AcousticGrandPiano,e3,e,3,2,halfdim7,4,60
AcousticGrandPiano-e3-halfdim7_inv3,AcousticGrandPiano,e3,e,3,3,halfdim7,4,60
AcousticGrandPiano-f4-halfdim7_inv0,AcousticGrandPiano,f4,f,4,0,halfdim7,4,60
AcousticGrandPiano-f3-halfdim7_inv1,AcousticGrandPiano,f3,f,3,1,halfdim7,4,60
AcousticGrandPiano-f3-halfdim7_inv2,AcousticGrandPiano,f3,f,3,2,halfdim7,4,60
AcousticGrandPiano-f3-halfdim7_inv3,AcousticGrandPiano,f3,f,3,3,halfdim7,4,60
AcousticGrandPiano-fs3-halfdim7_inv0,AcousticGrandPiano,fs3,fs,3,0,halfdim7,4,60
AcousticGrandPiano-fs3-halfdim7_inv1,AcousticGrandPiano,fs3,fs,3,1,halfdim7,4,60
AcousticGrandPiano-fs3-halfdim7_inv2,AcousticGrandPiano,fs3,fs,3,2,halfdim7,4,60
AcousticGrandPiano-fs3-halfdim7_inv3,AcousticGrandPiano,fs3,fs,3,3,halfdim7,4,60
AcousticGrandPiano-g3-halfdim7_inv0,AcousticGrandPiano,g3,g,3,0,halfdim7,4,60
AcousticGrandPiano-g3-halfdim7_inv1,AcousticGrandPiano,g3,g,3,1,halfdim7,4,60
AcousticGrandPiano-g3-halfdim7_inv2,AcousticGrandPiano,g3,g,3,2,halfdim7,4,60
AcousticGrandPiano-g3-halfdim7_inv3,AcousticGrandPiano,g3,g,3,3,halfdim7,4,60
AcousticGrandPiano-gs3-halfdim7_inv0,AcousticGrandPiano,gs3,gs,3,0,halfdim7,4,60
AcousticGrandPiano-gs3-halfdim7_inv1,AcousticGrandPiano,gs3,gs,3,1,halfdim7,4,60
AcousticGrandPiano-gs3-halfdim7_inv2,AcousticGrandPiano,gs3,gs,3,2,halfdim7,4,60
AcousticGrandPiano-gs3-halfdim7_inv3,AcousticGrandPiano,gs3,gs,3,3,halfdim7,4,60
AcousticGrandPiano-a3-halfdim7_inv0,AcousticGrandPiano,a3,a,3,0,halfdim7,4,60
AcousticGrandPiano-a3-halfdim7_inv1,AcousticGrandPiano,a3,a,3,1,halfdim7,4,60
AcousticGrandPiano-a3-halfdim7_inv2,AcousticGrandPiano,a3,a,3,2,halfdim7,4,60
AcousticGrandPiano-a3-halfdim7_inv3,AcousticGrandPiano,a3,a,3,3,halfdim7,4,60
AcousticGrandPiano-as3-halfdim7_inv0,AcousticGrandPiano,as3,as,3,0,halfdim7,4,60
AcousticGrandPiano-as3-halfdim7_inv1,AcousticGrandPiano,as3,as,3,1,halfdim7,4,60
AcousticGrandPiano-as3-halfdim7_inv2,AcousticGrandPiano,as3,as,3,2,halfdim7,4,60
AcousticGrandPiano-as3-halfdim7_inv3,AcousticGrandPiano,as3,as,3,3,halfdim7,4,60
AcousticGrandPiano-b3-halfdim7_inv0,AcousticGrandPiano,b3,b,3,0,halfdim7,4,60
AcousticGrandPiano-b3-halfdim7_inv1,AcousticGrandPiano,b3,b,3,1,halfdim7,4,60
AcousticGrandPiano-b3-halfdim7_inv2,AcousticGrandPiano,b3,b,3,2,halfdim7,4,60
AcousticGrandPiano-b3-halfdim7_inv3,AcousticGrandPiano,b3,b,3,3,halfdim7,4,60
AcousticGrandPiano-c4-fulldim7_inv0,AcousticGrandPiano,c4,c,4,0,fulldim7,5,60
AcousticGrandPiano-c4-fulldim7_inv1,AcousticGrandPiano,c4,c,4,1,fulldim7,5,60
AcousticGrandPiano-c3-fulldim7_inv2,AcousticGrandPiano,c3,c,3,2,fulldim7,5,60
AcousticGrandPiano-c3-fulldim7_inv3,AcousticGrandPiano,c3,c,3,3,fulldim7,5,60
AcousticGrandPiano-cs4-fulldim7_inv0,AcousticGrandPiano,cs4,cs,4,0,fulldim7,5,60
AcousticGrandPiano-cs4-fulldim7_inv1,AcousticGrandPiano,cs4,cs,4,1,fulldim7,5,60
AcousticGrandPiano-cs3-fulldim7_inv2,AcousticGrandPiano,cs3,cs,3,2,fulldim7,5,60
AcousticGrandPiano-cs3-fulldim7_inv3,AcousticGrandPiano,cs3,cs,3,3,fulldim7,5,60
AcousticGrandPiano-d4-fulldim7_inv0,AcousticGrandPiano,d4,d,4,0,fulldim7,5,60
AcousticGrandPiano-d4-fulldim7_inv1,AcousticGrandPiano,d4,d,4,1,fulldim7,5,60
AcousticGrandPiano-d3-fulldim7_inv2,AcousticGrandPiano,d3,d,3,2,fulldim7,5,60
AcousticGrandPiano-d3-fulldim7_inv3,AcousticGrandPiano,d3,d,3,3,fulldim7,5,60
AcousticGrandPiano-ds4-fulldim7_inv0,AcousticGrandPiano,ds4,ds,4,0,fulldim7,5,60
AcousticGrandPiano-ds3-fulldim7_inv1,AcousticGrandPiano,ds3,ds,3,1,fulldim7,5,60
AcousticGrandPiano-ds3-fulldim7_inv2,AcousticGrandPiano,ds3,ds,3,2,fulldim7,5,60
AcousticGrandPiano-ds3-fulldim7_inv3,AcousticGrandPiano,ds3,ds,3,3,fulldim7,5,60
AcousticGrandPiano-e4-fulldim7_inv0,AcousticGrandPiano,e4,e,4,0,fulldim7,5,60
AcousticGrandPiano-e3-fulldim7_inv1,AcousticGrandPiano,e3,e,3,1,fulldim7,5,60
AcousticGrandPiano-e3-fulldim7_inv2,AcousticGrandPiano,e3,e,3,2,fulldim7,5,60
AcousticGrandPiano-e3-fulldim7_inv3,AcousticGrandPiano,e3,e,3,3,fulldim7,5,60
AcousticGrandPiano-f4-fulldim7_inv0,AcousticGrandPiano,f4,f,4,0,fulldim7,5,60
AcousticGrandPiano-f3-fulldim7_inv1,AcousticGrandPiano,f3,f,3,1,fulldim7,5,60
