set_type,set_type_count,inst,count,proportion
train,13914,AcousticGuitar(nylon),153,0.010996119016817593
train,13914,AcousticGuitar(steel),155,0.01113985913468449
train,13914,AltoSax,156,0.011211729193617938
train,13914,Bagpipe,142,0.010205548368549661
train,13914,Banjo,156,0.011211729193617938
train,13914,BaritoneSax,145,0.010421158545350006
train,13914,Bassoon,140,0.010061808250682765
train,13914,BlownBottle,148,0.010636768722150351
train,13914,BrassSection,152,0.010924248957884145
train,13914,BrightAcousticPiano,148,0.010636768722150351
train,13914,Cello,146,0.010493028604283455
train,13914,ChoirAahs,148,0.010636768722150351
train,13914,ChurchOrgan,154,0.011067989075751041
train,13914,Clarinet,148,0.010636768722150351
train,13914,Clavinet,143,0.01027741842748311
train,13914,Contrabass,157,0.011283599252551386
train,13914,DistortionGuitar,150,0.010780508840017248
train,13914,DrawbarOrgan,149,0.0107086387810838
train,13914,Dulcimer,157,0.011283599252551386
train,13914,ElectricBass(finger),141,0.010133678309616213
train,13914,ElectricBass(pick),149,0.0107086387810838
train,13914,ElectricGrandPiano,143,0.01027741842748311
train,13914,ElectricGuitar(clean),141,0.010133678309616213
train,13914,ElectricGuitar(jazz),143,0.01027741842748311
train,13914,ElectricGuitar(muted),152,0.010924248957884145
train,13914,ElectricPiano1,151,0.010852378898950696
train,13914,ElectricPiano2,154,0.011067989075751041
train,13914,EnglishHorn,152,0.010924248957884145
train,13914,Fiddle,145,0.010421158545350006
train,13914,Flute,160,0.011499209429351731
train,13914,FrenchHorn,161,0.01157107948828518
train,13914,FretlessBass,155,0.01113985913468449
train,13914,Harpsichord,155,0.01113985913468449
train,13914,Honky-tonkPiano,148,0.010636768722150351
train,13914,Kalimba,149,0.0107086387810838
train,13914,Koto,147,0.010564898663216903
train,13914,Lead1(square),151,0.010852378898950696
train,13914,Lead2(sawtooth),149,0.0107086387810838
train,13914,Lead3(calliope),160,0.011499209429351731
train,13914,Lead4(chiff),147,0.010564898663216903
train,13914,Lead5(charang),160,0.011499209429351731
train,13914,Lead6(voice),147,0.010564898663216903
train,13914,Lead8(bass+lead),156,0.011211729193617938
train,13914,Marimba,157,0.011283599252551386
train,13914,MusicBox,159,0.011427339370418283
train,13914,MutedTrumpet,150,0.010780508840017248
train,13914,Oboe,152,0.010924248957884145
train,13914,Ocarina,156,0.011211729193617938
train,13914,OrchestralHarp,152,0.010924248957884145
train,13914,OverdrivenGuitar,144,0.010349288486416558
train,13914,Pad1(newage),151,0.010852378898950696
train,13914,Pad2(warm),162,0.011642949547218628
train,13914,Pad3(polysynth),163,0.011714819606152076
train,13914,Pad4(choir),152,0.010924248957884145
train,13914,Pad5(bowed),152,0.010924248957884145
train,13914,Pad6(metallic),152,0.010924248957884145
train,13914,Pad7(halo),148,0.010636768722150351
train,13914,Pad8(sweep),146,0.010493028604283455
train,13914,PanFlute,153,0.010996119016817593
train,13914,PercussiveOrgan,147,0.010564898663216903
train,13914,Piccolo,142,0.010205548368549661
train,13914,PizzicatoStrings,158,0.011355469311484834
train,13914,Recorder,159,0.011427339370418283
train,13914,ReedOrgan,160,0.011499209429351731
train,13914,RockOrgan,155,0.01113985913468449
train,13914,Shamisen,148,0.010636768722150351
train,13914,Shanai,148,0.010636768722150351
train,13914,Sitar,149,0.0107086387810838
train,13914,SlapBass1,157,0.011283599252551386
train,13914,SlapBass2,144,0.010349288486416558
train,13914,SopranoSax,146,0.010493028604283455
train,13914,StringEnsemble1,152,0.010924248957884145
train,13914,StringEnsemble2,156,0.011211729193617938
train,13914,SynthBass1,144,0.010349288486416558
train,13914,SynthBass2,140,0.010061808250682765
train,13914,SynthBrass1,149,0.0107086387810838
train,13914,SynthBrass2,139,0.009989938191749316
train,13914,SynthStrings1,157,0.011283599252551386
train,13914,SynthStrings2,154,0.011067989075751041
train,13914,SynthVoice,153,0.010996119016817593
train,13914,TenorSax,146,0.010493028604283455
train,13914,TremoloStrings,151,0.010852378898950696
train,13914,Trombone,150,0.010780508840017248
train,13914,Trumpet,158,0.011355469311484834
train,13914,Tuba,156,0.011211729193617938
train,13914,Vibraphone,161,0.01157107948828518
train,13914,Viola,161,0.01157107948828518
train,13914,Violin,149,0.0107086387810838
train,13914,VoiceOohs,148,0.010636768722150351
train,13914,Xylophone,150,0.010780508840017248
valid,2979,AcousticBass,27,0.00906344410876133
valid,2979,AcousticGrandPiano,30,0.010070493454179255
valid,2979,AcousticGuitar(nylon),36,0.012084592145015106
valid,2979,AcousticGuitar(steel),27,0.00906344410876133
valid,2979,AltoSax,36,0.012084592145015106
valid,2979,Bagpipe,38,0.012755958375293723
valid,2979,Banjo,30,0.010070493454179255
valid,2979,BaritoneSax,39,0.013091641490433032
valid,2979,Bassoon,31,0.010406176569318564
valid,2979,BlownBottle,33,0.01107754279959718
valid,2979,BrassSection,39,0.013091641490433032
valid,2979,BrightAcousticPiano,35,0.011748909029875798
valid,2979,Cello,36,0.012084592145015106
valid,2979,ChoirAahs,33,0.01107754279959718
valid,2979,ChurchOrgan,29,0.009734810339039945
valid,2979,Clarinet,31,0.010406176569318564
valid,2979,Clavinet,28,0.009399127223900638
valid,2979,Contrabass,27,0.00906344410876133
valid,2979,DistortionGuitar,30,0.010070493454179255
valid,2979,DrawbarOrgan,30,0.010070493454179255
valid,2979,Dulcimer,35,0.011748909029875798
valid,2979,ElectricBass(finger),34,0.011413225914736489
valid,2979,ElectricBass(pick),36,0.012084592145015106
valid,2979,ElectricGrandPiano,37,0.012420275260154413
valid,2979,ElectricGuitar(clean),31,0.010406176569318564
valid,2979,ElectricGuitar(jazz),32,0.010741859684457872
valid,2979,ElectricGuitar(muted),38,0.012755958375293723
valid,2979,ElectricPiano1,37,0.012420275260154413
valid,2979,ElectricPiano2,33,0.01107754279959718
valid,2979,EnglishHorn,32,0.010741859684457872
valid,2979,Fiddle,37,0.012420275260154413
valid,2979,Flute,27,0.00906344410876133
valid,2979,FrenchHorn,35,0.011748909029875798
valid,2979,FretlessBass,28,0.009399127223900638
valid,2979,Harpsichord,33,0.01107754279959718
valid,2979,Honky-tonkPiano,36,0.012084592145015106
valid,2979,Kalimba,37,0.012420275260154413
valid,2979,Koto,29,0.009734810339039945
valid,2979,Lead1(square),32,0.010741859684457872
valid,2979,Lead2(sawtooth),33,0.01107754279959718
valid,2979,Lead3(calliope),29,0.009734810339039945
valid,2979,Lead4(chiff),38,0.012755958375293723
valid,2979,Lead5(charang),31,0.010406176569318564
valid,2979,Lead6(voice),44,0.014770057066129574
valid,2979,Lead8(bass+lead),30,0.010070493454179255
valid,2979,Marimba,26,0.00872776099362202
valid,2979,MusicBox,31,0.010406176569318564
valid,2979,MutedTrumpet,26,0.00872776099362202
valid,2979,Oboe,35,0.011748909029875798
valid,2979,Ocarina,25,0.008392077878482711
valid,2979,OrchestralHarp,28,0.009399127223900638
valid,2979,OverdrivenGuitar,41,0.013763007720711647
valid,2979,Pad1(newage),29,0.009734810339039945
valid,2979,Pad2(warm),28,0.009399127223900638
valid,2979,Pad3(polysynth),26,0.00872776099362202
valid,2979,Pad4(choir),33,0.01107754279959718
valid,2979,Pad5(bowed),28,0.009399127223900638
valid,2979,Pad6(metallic),35,0.011748909029875798
valid,2979,Pad7(halo),33,0.01107754279959718
valid,2979,Pad8(sweep),33,0.01107754279959718
valid,2979,PanFlute,34,0.011413225914736489
valid,2979,PercussiveOrgan,35,0.011748909029875798
valid,2979,Piccolo,41,0.013763007720711647
valid,2979,PizzicatoStrings,29,0.009734810339039945
valid,2979,Recorder,30,0.010070493454179255
valid,2979,ReedOrgan,25,0.008392077878482711
valid,2979,RockOrgan,37,0.012420275260154413
valid,2979,Shamisen,32,0.010741859684457872
valid,2979,Shanai,31,0.010406176569318564
valid,2979,Sitar,38,0.012755958375293723
valid,2979,SlapBass1,27,0.00906344410876133
valid,2979,SlapBass2,27,0.00906344410876133
valid,2979,SopranoSax,30,0.010070493454179255
valid,2979,StringEnsemble1,29,0.009734810339039945
valid,2979,StringEnsemble2,32,0.010741859684457872
valid,2979,SynthBass1,44,0.014770057066129574
valid,2979,SynthBass2,41,0.013763007720711647
valid,2979,SynthBrass1,25,0.008392077878482711
valid,2979,SynthBrass2,39,0.013091641490433032
valid,2979,SynthStrings1,27,0.00906344410876133
valid,2979,SynthStrings2,32,0.010741859684457872
valid,2979,SynthVoice,39,0.013091641490433032
valid,2979,TenorSax,29,0.009734810339039945
valid,2979,TremoloStrings,37,0.012420275260154413
valid,2979,Trombone,35,0.011748909029875798
valid,2979,Trumpet,30,0.010070493454179255
valid,2979,Tuba,33,0.01107754279959718
valid,2979,Vibraphone,23,0.007720711648204095
valid,2979,Viola,27,0.00906344410876133
valid,2979,Violin,30,0.010070493454179255
valid,2979,VoiceOohs,34,0.011413225914736489
valid,2979,Xylophone,31,0.010406176569318564
