fold,fold_count,key_center,count,proportion
7,1325,g4,123,0.09283018867924528
7,1325,gs4,119,0.08981132075471698
8,1325,a4,127,0.09584905660377357
8,1325,as4,111,0.08377358490566038
8,1325,b4,113,0.08528301886792453
8,1325,c4,113,0.08528301886792453
8,1325,cs4,95,0.07169811320754717
8,1325,d4,122,0.0920754716981132
8,1325,ds4,120,0.09056603773584905
8,1325,e4,95,0.07169811320754717
8,1325,f4,89,0.06716981132075471
8,1325,fs4,119,0.08981132075471698
8,1325,g4,102,0.07698113207547169
8,1325,gs4,119,0.08981132075471698
9,1325,a4,116,0.08754716981132075
9,1325,as4,109,0.08226415094339622
9,1325,b4,111,0.08377358490566038
9,1325,c4,109,0.08226415094339622
9,1325,cs4,124,0.09358490566037736
9,1325,d4,127,0.09584905660377357
9,1325,ds4,100,0.07547169811320754
9,1325,e4,108,0.08150943396226415
9,1325,f4,107,0.08075471698113207
9,1325,fs4,107,0.08075471698113207
9,1325,g4,103,0.07773584905660377
9,1325,gs4,104,0.07849056603773584
10,1325,a4,107,0.08075471698113207
10,1325,as4,92,0.06943396226415094
10,1325,b4,115,0.08679245283018867
10,1325,c4,101,0.07622641509433963
10,1325,cs4,114,0.08603773584905659
10,1325,d4,119,0.08981132075471698
10,1325,ds4,104,0.07849056603773584
10,1325,e4,118,0.0890566037735849
10,1325,f4,120,0.09056603773584905
10,1325,fs4,101,0.07622641509433963
10,1325,g4,103,0.07773584905660377
10,1325,gs4,131,0.09886792452830188
11,1325,a4,107,0.08075471698113207
11,1325,as4,104,0.07849056603773584
11,1325,b4,116,0.08754716981132075
11,1325,c4,119,0.08981132075471698
11,1325,cs4,100,0.07547169811320754
11,1325,d4,114,0.08603773584905659
11,1325,ds4,104,0.07849056603773584
11,1325,e4,119,0.08981132075471698
11,1325,f4,116,0.08754716981132075
11,1325,fs4,109,0.08226415094339622
11,1325,g4,112,0.08452830188679245
11,1325,gs4,105,0.07924528301886792
12,1325,a4,122,0.0920754716981132
12,1325,as4,112,0.08452830188679245
12,1325,b4,94,0.07094339622641509
12,1325,c4,117,0.08830188679245282
12,1325,cs4,104,0.07849056603773584
12,1325,d4,104,0.07849056603773584
12,1325,ds4,105,0.07924528301886792
12,1325,e4,108,0.08150943396226415
12,1325,f4,120,0.09056603773584905
12,1325,fs4,130,0.0981132075471698
12,1325,g4,99,0.07471698113207546
12,1325,gs4,110,0.0830188679245283
13,1325,a4,105,0.07924528301886792
13,1325,as4,100,0.07547169811320754
13,1325,b4,115,0.08679245283018867
13,1325,c4,114,0.08603773584905659
13,1325,cs4,106,0.08
13,1325,d4,104,0.07849056603773584
13,1325,ds4,113,0.08528301886792453
13,1325,e4,112,0.08452830188679245
13,1325,f4,110,0.0830188679245283
13,1325,fs4,121,0.09132075471698113
13,1325,g4,110,0.0830188679245283
13,1325,gs4,115,0.08679245283018867
14,1325,a4,105,0.07924528301886792
14,1325,as4,122,0.0920754716981132
14,1325,b4,101,0.07622641509433963
14,1325,c4,119,0.08981132075471698
14,1325,cs4,121,0.09132075471698113
14,1325,d4,110,0.0830188679245283
14,1325,ds4,99,0.07471698113207546
14,1325,e4,110,0.0830188679245283
14,1325,f4,111,0.08377358490566038
14,1325,fs4,90,0.06792452830188679
14,1325,g4,115,0.08679245283018867
14,1325,gs4,122,0.0920754716981132
15,1325,a4,117,0.08830188679245282
15,1325,as4,106,0.08
15,1325,b4,100,0.07547169811320754
15,1325,c4,105,0.07924528301886792
15,1325,cs4,112,0.08452830188679245
15,1325,d4,99,0.07471698113207546
15,1325,ds4,118,0.0890566037735849
15,1325,e4,115,0.08679245283018867
15,1325,f4,113,0.08528301886792453
15,1325,fs4,117,0.08830188679245282
15,1325,g4,112,0.08452830188679245
15,1325,gs4,111,0.08377358490566038
16,1325,a4,127,0.09584905660377357
16,1325,as4,110,0.0830188679245283
16,1325,b4,110,0.0830188679245283
16,1325,c4,100,0.07547169811320754
16,1325,cs4,99,0.07471698113207546
16,1325,d4,98,0.0739622641509434
16,1325,ds4,122,0.0920754716981132
16,1325,e4,130,0.0981132075471698
16,1325,f4,121,0.09132075471698113
16,1325,fs4,94,0.07094339622641509
16,1325,g4,93,0.07018867924528302
16,1325,gs4,121,0.09132075471698113
17,1324,a4,113,0.08534743202416918
17,1324,as4,135,0.10196374622356495
17,1324,b4,107,0.08081570996978851
17,1324,c4,97,0.07326283987915408
17,1324,cs4,120,0.09063444108761329
17,1324,d4,106,0.08006042296072508
17,1324,ds4,108,0.08157099697885196
17,1324,e4,97,0.07326283987915408
17,1324,f4,106,0.08006042296072508
17,1324,fs4,109,0.0823262839879154
17,1324,g4,123,0.09290030211480363
17,1324,gs4,103,0.07779456193353475
18,1324,a4,99,0.07477341389728097
18,1324,as4,112,0.08459214501510574
18,1324,b4,109,0.0823262839879154
18,1324,c4,93,0.0702416918429003
18,1324,cs4,143,0.10800604229607251
18,1324,d4,107,0.08081570996978851
18,1324,ds4,98,0.07401812688821752
18,1324,e4,123,0.09290030211480363
18,1324,f4,107,0.08081570996978851
18,1324,fs4,112,0.08459214501510574
18,1324,g4,123,0.09290030211480363
18,1324,gs4,98,0.07401812688821752
19,1324,a4,98,0.07401812688821752
19,1324,as4,97,0.07326283987915408
19,1324,b4,114,0.08610271903323263
19,1324,c4,121,0.09138972809667674
19,1324,cs4,119,0.08987915407854985
19,1324,d4,114,0.08610271903323263
19,1324,ds4,111,0.08383685800604229
19,1324,e4,130,0.09818731117824774
19,1324,f4,102,0.0770392749244713
19,1324,fs4,107,0.08081570996978851
19,1324,g4,117,0.08836858006042296
19,1324,gs4,94,0.07099697885196375
20,1324,a4,118,0.0891238670694864
20,1324,as4,111,0.08383685800604229
20,1324,b4,104,0.07854984894259819
20,1324,c4,114,0.08610271903323263
20,1324,cs4,95,0.07175226586102719
20,1324,d4,119,0.08987915407854985
20,1324,ds4,94,0.07099697885196375
20,1324,e4,93,0.0702416918429003
20,1324,f4,100,0.0755287009063444
20,1324,fs4,146,0.11027190332326284
20,1324,g4,117,0.08836858006042296
20,1324,gs4,113,0.08534743202416918
