fold,fold_count,root,count,proportion
4,1767,ds4,40,0.022637238256932656
4,1767,e3,123,0.06960950764006792
4,1767,e4,31,0.01754385964912281
4,1767,f3,104,0.0588568194680249
4,1767,f4,40,0.022637238256932656
4,1767,fs3,129,0.07300509337860782
4,1767,g3,163,0.09224674589700058
4,1767,gs3,133,0.07526881720430108
5,1767,a3,143,0.08092812676853424
5,1767,as3,146,0.08262591963780419
5,1767,b3,136,0.07696661007357103
5,1767,c3,78,0.044142614601018676
5,1767,c4,71,0.040181097906055466
5,1767,cs3,63,0.035653650254668934
5,1767,cs4,65,0.03678551216751556
5,1767,d3,90,0.050933786078098474
5,1767,d4,58,0.03282399547255235
5,1767,ds3,94,0.05319750990379174
5,1767,ds4,25,0.014148273910582909
5,1767,e3,108,0.06112054329371817
5,1767,e4,38,0.021505376344086023
5,1767,f3,119,0.06734578381437464
5,1767,f4,44,0.024900962082625922
5,1767,fs3,157,0.08885116015846067
5,1767,g3,171,0.09677419354838711
5,1767,gs3,161,0.09111488398415393
6,1767,a3,144,0.08149405772495756
6,1767,as3,152,0.08602150537634409
6,1767,b3,148,0.08375778155065082
6,1767,c3,73,0.041312959818902095
6,1767,c4,62,0.03508771929824562
6,1767,cs3,84,0.04753820033955858
6,1767,cs4,75,0.04244482173174873
6,1767,d3,101,0.05715902659875496
6,1767,d4,61,0.0345217883418223
6,1767,ds3,109,0.06168647425014149
6,1767,ds4,34,0.019241652518392757
6,1767,e3,93,0.052631578947368425
6,1767,e4,35,0.019807583474816072
6,1767,f3,106,0.05998868138087154
6,1767,f4,44,0.024900962082625922
6,1767,fs3,152,0.08602150537634409
6,1767,g3,139,0.07866440294284098
6,1767,gs3,155,0.08771929824561404
7,1767,a3,141,0.07979626485568761
7,1767,as3,163,0.09224674589700058
7,1767,b3,147,0.08319185059422751
7,1767,c3,71,0.040181097906055466
7,1767,c4,89,0.05036785512167516
7,1767,cs3,66,0.03735144312393888
7,1767,cs4,81,0.04584040747028863
7,1767,d3,95,0.053763440860215055
7,1767,d4,50,0.028296547821165818
7,1767,ds3,122,0.0690435766836446
7,1767,ds4,38,0.021505376344086023
7,1767,e3,120,0.06791171477079797
7,1767,e4,39,0.022071307300509338
7,1767,f3,94,0.05319750990379174
7,1767,f4,38,0.021505376344086023
7,1767,fs3,130,0.07357102433503113
7,1767,g3,128,0.0724391624221845
7,1767,gs3,155,0.08771929824561404
8,1767,a3,133,0.07526881720430108
8,1767,as3,148,0.08375778155065082
8,1767,b3,163,0.09224674589700058
8,1767,c3,60,0.03395585738539898
8,1767,c4,82,0.04640633842671194
8,1767,cs3,80,0.04527447651386531
8,1767,cs4,79,0.044708545557442
8,1767,d3,94,0.05319750990379174
8,1767,d4,59,0.03338992642897567
8,1767,ds3,101,0.05715902659875496
8,1767,ds4,42,0.02376910016977929
8,1767,e3,113,0.06395019807583475
8,1767,e4,42,0.02376910016977929
8,1767,f3,102,0.05772495755517827
8,1767,f4,49,0.027730616864742503
8,1767,fs3,133,0.07526881720430108
8,1767,g3,139,0.07866440294284098
8,1767,gs3,148,0.08375778155065082
9,1766,a3,150,0.08493771234428087
9,1766,as3,133,0.0753114382785957
9,1766,b3,146,0.08267270668176671
9,1766,c3,68,0.03850509626274066
9,1766,c4,80,0.04530011325028313
9,1766,cs3,78,0.04416761041902605
9,1766,cs4,74,0.04190260475651189
9,1766,d3,84,0.047565118912797286
9,1766,d4,60,0.03397508493771235
9,1766,ds3,100,0.05662514156285391
9,1766,ds4,44,0.02491506228765572
9,1766,e3,110,0.0622876557191393
9,1766,e4,34,0.01925254813137033
9,1766,f3,110,0.0622876557191393
9,1766,f4,35,0.019818799546998868
9,1766,fs3,151,0.0855039637599094
9,1766,g3,158,0.08946772366930918
9,1766,gs3,151,0.0855039637599094
10,1766,a3,144,0.08154020385050963
10,1766,as3,126,0.07134767836919592
10,1766,b3,144,0.08154020385050963
10,1766,c3,75,0.04246885617214043
10,1766,c4,88,0.04983012457531144
10,1766,cs3,75,0.04246885617214043
10,1766,cs4,76,0.043035107587768975
10,1766,d3,98,0.055492638731596836
10,1766,d4,69,0.0390713476783692
10,1766,ds3,113,0.06398640996602492
10,1766,ds4,39,0.022083805209513026
10,1766,e3,104,0.05889014722536807
10,1766,e4,40,0.022650056625141565
10,1766,f3,120,0.0679501698754247
10,1766,f4,27,0.015288788221970556
10,1766,fs3,148,0.08380520951302378
10,1766,g3,139,0.07870894677236694
10,1766,gs3,141,0.07984144960362402
11,1766,a3,146,0.08267270668176671
11,1766,as3,142,0.08040770101925256
11,1766,b3,156,0.0883352208380521
11,1766,c3,77,0.04360135900339751
11,1766,c4,74,0.04190260475651189
11,1766,cs3,66,0.03737259343148358
11,1766,cs4,68,0.03850509626274066
11,1766,d3,85,0.04813137032842582
11,1766,d4,62,0.035107587768969425
11,1766,ds3,106,0.060022650056625146
11,1766,ds4,37,0.020951302378255945
11,1766,e3,115,0.06511891279728199
11,1766,e4,38,0.021517553793884488
11,1766,f3,125,0.07078142695356739
11,1766,f4,24,0.013590033975084938
11,1766,fs3,159,0.09003397508493771
11,1766,g3,155,0.08776896942242356
11,1766,gs3,131,0.07417893544733863
12,1766,a3,166,0.09399773499433749
12,1766,as3,143,0.08097395243488109
12,1766,b3,148,0.08380520951302378
12,1766,c3,66,0.03737259343148358
12,1766,c4,65,0.036806342015855045
12,1766,cs3,64,0.0362400906002265
12,1766,cs4,66,0.03737259343148358
12,1766,d3,103,0.058323895809739526
12,1766,d4,48,0.027180067950169876
12,1766,ds3,122,0.06908267270668177
12,1766,ds4,27,0.015288788221970556
12,1766,e3,102,0.05775764439411099
12,1766,e4,32,0.01812004530011325
12,1766,f3,120,0.0679501698754247
12,1766,f4,38,0.021517553793884488
12,1766,fs3,148,0.08380520951302378
12,1766,g3,152,0.08607021517553795
12,1766,gs3,156,0.0883352208380521
13,1766,a3,157,0.08890147225368064
13,1766,as3,163,0.09229898074745188
13,1766,b3,154,0.08720271800679502
13,1766,c3,64,0.0362400906002265
13,1766,c4,66,0.03737259343148358
13,1766,cs3,75,0.04246885617214043
13,1766,cs4,74,0.04190260475651189
13,1766,d3,83,0.04699886749716874
13,1766,d4,56,0.03171007927519819
13,1766,ds3,125,0.07078142695356739
13,1766,ds4,42,0.023782559456398643
13,1766,e3,122,0.06908267270668177
13,1766,e4,32,0.01812004530011325
13,1766,f3,111,0.06285390713476784
13,1766,f4,31,0.017553793884484713
13,1766,fs3,134,0.07587768969422425
13,1766,g3,137,0.07757644394110985
13,1766,gs3,140,0.07927519818799547
14,1766,a3,135,0.07644394110985278
14,1766,as3,138,0.0781426953567384
14,1766,b3,137,0.07757644394110985
14,1766,c3,80,0.04530011325028313
14,1766,c4,86,0.04869762174405436
14,1766,cs3,66,0.03737259343148358
14,1766,cs4,70,0.039637599093997736
14,1766,d3,93,0.05266138165345414
14,1766,d4,52,0.029445073612684034
14,1766,ds3,113,0.06398640996602492
14,1766,ds4,38,0.021517553793884488
14,1766,e3,104,0.05889014722536807
14,1766,e4,51,0.028878822197055495
14,1766,f3,92,0.052095130237825596
14,1766,f4,41,0.023216308040770104
14,1766,fs3,167,0.09456398640996604
14,1766,g3,145,0.08210645526613818
14,1766,gs3,158,0.08946772366930918
15,1766,a3,141,0.07984144960362402
15,1766,as3,144,0.08154020385050963
15,1766,b3,139,0.07870894677236694
15,1766,c3,67,0.03793884484711212
15,1766,c4,79,0.04473386183465459
15,1766,cs3,67,0.03793884484711212
15,1766,cs4,55,0.03114382785956965
15,1766,d3,98,0.055492638731596836
15,1766,d4,48,0.027180067950169876
15,1766,ds3,108,0.06115515288788222
15,1766,ds4,34,0.01925254813137033
15,1766,e3,112,0.06342015855039639
15,1766,e4,32,0.01812004530011325
15,1766,f3,124,0.07021517553793885
15,1766,f4,41,0.023216308040770104
15,1766,fs3,155,0.08776896942242356
15,1766,g3,167,0.09456398640996604
15,1766,gs3,155,0.08776896942242356
16,1766,a3,150,0.08493771234428087
16,1766,as3,162,0.09173272933182333
16,1766,b3,158,0.08946772366930918
16,1766,c3,65,0.036806342015855045
16,1766,c4,80,0.04530011325028313
16,1766,cs3,72,0.04077010192525481
16,1766,cs4,69,0.0390713476783692
16,1766,d3,75,0.04246885617214043
16,1766,d4,67,0.03793884484711212
16,1766,ds3,105,0.059456398640996604
16,1766,ds4,45,0.02548131370328426
16,1766,e3,109,0.061721404303510766
16,1766,e4,40,0.022650056625141565
16,1766,f3,107,0.06058890147225369
16,1766,f4,26,0.014722536806342017
16,1766,fs3,138,0.0781426953567384
16,1766,g3,151,0.0855039637599094
16,1766,gs3,147,0.08323895809739525
17,1766,a3,167,0.09456398640996604
17,1766,as3,140,0.07927519818799547
17,1766,b3,151,0.0855039637599094
17,1766,c3,89,0.05039637599093998
17,1766,c4,63,0.03567383918459796
17,1766,cs3,74,0.04190260475651189
17,1766,cs4,83,0.04699886749716874
17,1766,d3,91,0.05152887882219706
17,1766,d4,50,0.028312570781426957
17,1766,ds3,101,0.05719139297848245
17,1766,ds4,34,0.01925254813137033
17,1766,e3,102,0.05775764439411099
17,1766,e4,35,0.019818799546998868
17,1766,f3,115,0.06511891279728199
17,1766,f4,42,0.023782559456398643
17,1766,fs3,149,0.08437146092865233
17,1766,g3,145,0.08210645526613818
17,1766,gs3,135,0.07644394110985278
18,1766,a3,160,0.09060022650056626
18,1766,as3,143,0.08097395243488109
18,1766,b3,155,0.08776896942242356
18,1766,c3,79,0.04473386183465459
18,1766,c4,72,0.04077010192525481
18,1766,cs3,78,0.04416761041902605
18,1766,cs4,79,0.04473386183465459
18,1766,d3,89,0.05039637599093998
18,1766,d4,33,0.01868629671574179
18,1766,ds3,106,0.060022650056625146
18,1766,ds4,39,0.022083805209513026
18,1766,e3,110,0.0622876557191393
18,1766,e4,31,0.017553793884484713
18,1766,f3,108,0.06115515288788222
18,1766,f4,40,0.022650056625141565
18,1766,fs3,164,0.09286523216308042
18,1766,g3,129,0.07304643261608154
18,1766,gs3,151,0.0855039637599094
19,1766,a3,155,0.08776896942242356
19,1766,as3,160,0.09060022650056626
19,1766,b3,131,0.07417893544733863
19,1766,c3,79,0.04473386183465459
19,1766,c4,57,0.03227633069082673
19,1766,cs3,97,0.05492638731596829
19,1766,cs4,78,0.04416761041902605
19,1766,d3,99,0.05605889014722537
19,1766,d4,45,0.02548131370328426
19,1766,ds3,125,0.07078142695356739
19,1766,ds4,29,0.016421291053227635
19,1766,e3,98,0.055492638731596836
19,1766,e4,34,0.01925254813137033
19,1766,f3,111,0.06285390713476784
19,1766,f4,36,0.020385050962627407
19,1766,fs3,158,0.08946772366930918
19,1766,g3,138,0.0781426953567384
19,1766,gs3,136,0.07701019252548132
20,1766,a3,134,0.07587768969422425
20,1766,as3,156,0.0883352208380521
20,1766,b3,148,0.08380520951302378
20,1766,c3,89,0.05039637599093998
20,1766,c4,64,0.0362400906002265
20,1766,cs3,67,0.03793884484711212
20,1766,cs4,66,0.03737259343148358
20,1766,d3,82,0.04643261608154021
20,1766,d4,64,0.0362400906002265
20,1766,ds3,127,0.07191392978482447
20,1766,ds4,42,0.023782559456398643
20,1766,e3,104,0.05889014722536807
20,1766,e4,31,0.017553793884484713
20,1766,f3,132,0.07474518686296716
20,1766,f4,26,0.014722536806342017
20,1766,fs3,138,0.0781426953567384
20,1766,g3,146,0.08267270668176671
20,1766,gs3,150,0.08493771234428087
