fold,fold_count,quality,count,proportion
7,1767,major7,221,0.12507074136955293
7,1767,majorminor7,221,0.12507074136955293
7,1767,minor7,221,0.12507074136955293
7,1767,minormajor7,220,0.12450481041312961
8,1767,augmajor7,221,0.12507074136955293
8,1767,augminor7,221,0.12507074136955293
8,1767,fulldim7,221,0.12507074136955293
8,1767,halfdim7,221,0.12507074136955293
8,1767,major7,221,0.12507074136955293
8,1767,majorminor7,221,0.12507074136955293
8,1767,minor7,221,0.12507074136955293
8,1767,minormajor7,220,0.12450481041312961
9,1766,augmajor7,221,0.12514156285390715
9,1766,augminor7,220,0.1245753114382786
9,1766,fulldim7,221,0.12514156285390715
9,1766,halfdim7,221,0.12514156285390715
9,1766,major7,221,0.12514156285390715
9,1766,majorminor7,220,0.1245753114382786
9,1766,minor7,221,0.12514156285390715
9,1766,minormajor7,221,0.12514156285390715
10,1766,augmajor7,221,0.12514156285390715
10,1766,augminor7,220,0.1245753114382786
10,1766,fulldim7,221,0.12514156285390715
10,1766,halfdim7,221,0.12514156285390715
10,1766,major7,221,0.12514156285390715
10,1766,majorminor7,220,0.1245753114382786
10,1766,minor7,221,0.12514156285390715
10,1766,minormajor7,221,0.12514156285390715
11,1766,augmajor7,221,0.12514156285390715
11,1766,augminor7,220,0.1245753114382786
11,1766,fulldim7,221,0.12514156285390715
11,1766,halfdim7,221,0.12514156285390715
11,1766,major7,221,0.12514156285390715
11,1766,majorminor7,220,0.1245753114382786
11,1766,minor7,221,0.12514156285390715
11,1766,minormajor7,221,0.12514156285390715
12,1766,augmajor7,221,0.12514156285390715
12,1766,augminor7,220,0.1245753114382786
12,1766,fulldim7,221,0.12514156285390715
12,1766,halfdim7,221,0.12514156285390715
12,1766,major7,221,0.12514156285390715
12,1766,majorminor7,220,0.1245753114382786
12,1766,minor7,221,0.12514156285390715
12,1766,minormajor7,221,0.12514156285390715
13,1766,augmajor7,220,0.1245753114382786
13,1766,augminor7,221,0.12514156285390715
13,1766,fulldim7,221,0.12514156285390715
13,1766,halfdim7,221,0.12514156285390715
13,1766,major7,221,0.12514156285390715
13,1766,majorminor7,221,0.12514156285390715
13,1766,minor7,220,0.1245753114382786
13,1766,minormajor7,221,0.12514156285390715
14,1766,augmajor7,220,0.1245753114382786
14,1766,augminor7,221,0.12514156285390715
14,1766,fulldim7,221,0.12514156285390715
14,1766,halfdim7,221,0.12514156285390715
14,1766,major7,221,0.12514156285390715
14,1766,majorminor7,221,0.12514156285390715
14,1766,minor7,220,0.1245753114382786
14,1766,minormajor7,221,0.12514156285390715
15,1766,augmajor7,220,0.1245753114382786
15,1766,augminor7,221,0.12514156285390715
15,1766,fulldim7,221,0.12514156285390715
15,1766,halfdim7,221,0.12514156285390715
15,1766,major7,221,0.12514156285390715
15,1766,majorminor7,221,0.12514156285390715
15,1766,minor7,220,0.1245753114382786
15,1766,minormajor7,221,0.12514156285390715
16,1766,augmajor7,220,0.1245753114382786
16,1766,augminor7,221,0.12514156285390715
16,1766,fulldim7,221,0.12514156285390715
16,1766,halfdim7,221,0.12514156285390715
16,1766,major7,221,0.12514156285390715
16,1766,majorminor7,221,0.12514156285390715
16,1766,minor7,220,0.1245753114382786
16,1766,minormajor7,221,0.12514156285390715
17,1766,augmajor7,221,0.12514156285390715
17,1766,augminor7,221,0.12514156285390715
17,1766,fulldim7,220,0.1245753114382786
17,1766,halfdim7,221,0.12514156285390715
17,1766,major7,220,0.1245753114382786
17,1766,majorminor7,221,0.12514156285390715
17,1766,minor7,221,0.12514156285390715
17,1766,minormajor7,221,0.12514156285390715
18,1766,augmajor7,221,0.12514156285390715
18,1766,augminor7,221,0.12514156285390715
18,1766,fulldim7,220,0.1245753114382786
18,1766,halfdim7,221,0.12514156285390715
18,1766,major7,220,0.1245753114382786
18,1766,majorminor7,221,0.12514156285390715
18,1766,minor7,221,0.12514156285390715
18,1766,minormajor7,221,0.12514156285390715
19,1766,augmajor7,221,0.12514156285390715
19,1766,augminor7,221,0.12514156285390715
19,1766,fulldim7,220,0.1245753114382786
19,1766,halfdim7,221,0.12514156285390715
19,1766,major7,220,0.1245753114382786
19,1766,majorminor7,221,0.12514156285390715
19,1766,minor7,221,0.12514156285390715
19,1766,minormajor7,221,0.12514156285390715
20,1766,augmajor7,221,0.12514156285390715
20,1766,augminor7,221,0.12514156285390715
20,1766,fulldim7,220,0.1245753114382786
20,1766,halfdim7,221,0.12514156285390715
20,1766,major7,220,0.1245753114382786
20,1766,majorminor7,221,0.12514156285390715
20,1766,minor7,221,0.12514156285390715
20,1766,minormajor7,221,0.12514156285390715
