set_type,set_type_count,bpm,count,proportion
valid,604,65,12,0.019867549668874173
valid,604,66,12,0.019867549668874173
valid,604,67,12,0.019867549668874173
valid,604,68,13,0.02152317880794702
valid,604,69,13,0.02152317880794702
valid,604,70,13,0.02152317880794702
valid,604,71,12,0.019867549668874173
valid,604,72,12,0.019867549668874173
valid,604,73,12,0.019867549668874173
valid,604,74,3,0.004966887417218543
valid,604,186,1,0.0016556291390728477
valid,604,187,13,0.02152317880794702
valid,604,188,13,0.02152317880794702
valid,604,189,12,0.019867549668874173
valid,604,190,12,0.019867549668874173
valid,604,191,12,0.019867549668874173
valid,604,192,13,0.02152317880794702
valid,604,193,13,0.02152317880794702
valid,604,194,13,0.02152317880794702
valid,604,195,12,0.019867549668874173
valid,604,196,12,0.019867549668874173
valid,604,197,12,0.019867549668874173
valid,604,198,13,0.02152317880794702
valid,604,199,13,0.02152317880794702
valid,604,200,13,0.02152317880794702
valid,604,201,12,0.019867549668874173
valid,604,202,12,0.019867549668874173
valid,604,203,12,0.019867549668874173
valid,604,204,13,0.02152317880794702
valid,604,205,13,0.02152317880794702
valid,604,206,13,0.02152317880794702
valid,604,207,12,0.019867549668874173
valid,604,208,12,0.019867549668874173
valid,604,209,12,0.019867549668874173
valid,604,210,13,0.02152317880794702
