fold,fold_count,interval_idx,count,proportion
13,1987,4,166,0.08354302969300453
13,1987,5,165,0.08303975842979365
13,1987,6,166,0.08354302969300453
13,1987,7,166,0.08354302969300453
13,1987,8,165,0.08303975842979365
13,1987,9,166,0.08354302969300453
13,1987,10,165,0.08303975842979365
13,1987,11,166,0.08354302969300453
14,1987,0,165,0.08303975842979365
14,1987,1,166,0.08354302969300453
14,1987,2,166,0.08354302969300453
14,1987,3,165,0.08303975842979365
14,1987,4,166,0.08354302969300453
14,1987,5,165,0.08303975842979365
14,1987,6,166,0.08354302969300453
14,1987,7,166,0.08354302969300453
14,1987,8,165,0.08303975842979365
14,1987,9,166,0.08354302969300453
14,1987,10,165,0.08303975842979365
14,1987,11,166,0.08354302969300453
15,1987,0,165,0.08303975842979365
15,1987,1,166,0.08354302969300453
15,1987,2,166,0.08354302969300453
15,1987,3,165,0.08303975842979365
15,1987,4,166,0.08354302969300453
15,1987,5,165,0.08303975842979365
15,1987,6,166,0.08354302969300453
15,1987,7,166,0.08354302969300453
15,1987,8,165,0.08303975842979365
15,1987,9,166,0.08354302969300453
15,1987,10,165,0.08303975842979365
15,1987,11,166,0.08354302969300453
16,1987,0,165,0.08303975842979365
16,1987,1,166,0.08354302969300453
16,1987,2,166,0.08354302969300453
16,1987,3,165,0.08303975842979365
16,1987,4,166,0.08354302969300453
16,1987,5,165,0.08303975842979365
16,1987,6,166,0.08354302969300453
16,1987,7,166,0.08354302969300453
16,1987,8,165,0.08303975842979365
16,1987,9,166,0.08354302969300453
16,1987,10,165,0.08303975842979365
16,1987,11,166,0.08354302969300453
17,1987,0,165,0.08303975842979365
17,1987,1,166,0.08354302969300453
17,1987,2,165,0.08303975842979365
17,1987,3,166,0.08354302969300453
17,1987,4,166,0.08354302969300453
17,1987,5,165,0.08303975842979365
17,1987,6,166,0.08354302969300453
17,1987,7,165,0.08303975842979365
17,1987,8,166,0.08354302969300453
17,1987,9,166,0.08354302969300453
17,1987,10,165,0.08303975842979365
17,1987,11,166,0.08354302969300453
18,1987,0,165,0.08303975842979365
18,1987,1,166,0.08354302969300453
18,1987,2,165,0.08303975842979365
18,1987,3,166,0.08354302969300453
18,1987,4,166,0.08354302969300453
18,1987,5,165,0.08303975842979365
18,1987,6,166,0.08354302969300453
18,1987,7,165,0.08303975842979365
18,1987,8,166,0.08354302969300453
18,1987,9,166,0.08354302969300453
18,1987,10,165,0.08303975842979365
18,1987,11,166,0.08354302969300453
19,1987,0,165,0.08303975842979365
19,1987,1,166,0.08354302969300453
19,1987,2,165,0.08303975842979365
19,1987,3,166,0.08354302969300453
19,1987,4,166,0.08354302969300453
19,1987,5,165,0.08303975842979365
19,1987,6,166,0.08354302969300453
19,1987,7,165,0.08303975842979365
19,1987,8,166,0.08354302969300453
19,1987,9,166,0.08354302969300453
19,1987,10,165,0.08303975842979365
19,1987,11,166,0.08354302969300453
20,1987,0,165,0.08303975842979365
20,1987,1,166,0.08354302969300453
20,1987,2,165,0.08303975842979365
20,1987,3,166,0.08354302969300453
20,1987,4,166,0.08354302969300453
20,1987,5,165,0.08303975842979365
20,1987,6,166,0.08354302969300453
20,1987,7,165,0.08303975842979365
20,1987,8,166,0.08354302969300453
20,1987,9,166,0.08354302969300453
20,1987,10,165,0.08303975842979365
20,1987,11,166,0.08354302969300453
