fold,fold_count,root_note_pitch_class,count,proportion
17,1987,8,162,0.08152994464016104
17,1987,9,171,0.08605938600905888
17,1987,10,148,0.07448414695520886
17,1987,11,171,0.08605938600905888
18,1987,0,164,0.08253648716658278
18,1987,1,141,0.07096124811273276
18,1987,2,178,0.08958228485153498
18,1987,3,178,0.08958228485153498
18,1987,4,175,0.08807247106190236
18,1987,5,166,0.08354302969300453
18,1987,6,191,0.0961248112732763
18,1987,7,159,0.08002013085052843
18,1987,8,151,0.07599396074484147
18,1987,9,171,0.08605938600905888
18,1987,10,167,0.0840463009562154
18,1987,11,146,0.07347760442878712
19,1987,0,165,0.08303975842979365
19,1987,1,160,0.0805234021137393
19,1987,2,164,0.08253648716658278
19,1987,3,175,0.08807247106190236
19,1987,4,173,0.08706592853548062
19,1987,5,176,0.08857574232511323
19,1987,6,175,0.08807247106190236
19,1987,7,153,0.0770005032712632
19,1987,8,175,0.08807247106190236
19,1987,9,144,0.07247106190236538
19,1987,10,168,0.08454957221942627
19,1987,11,159,0.08002013085052843
20,1987,0,162,0.08152994464016104
20,1987,1,161,0.08102667337695017
20,1987,2,179,0.09008555611474585
20,1987,3,158,0.07951685958731756
20,1987,4,177,0.08907901358832411
20,1987,5,147,0.07398087569199799
20,1987,6,177,0.08907901358832411
20,1987,7,178,0.08958228485153498
20,1987,8,164,0.08253648716658278
20,1987,9,164,0.08253648716658278
20,1987,10,158,0.07951685958731756
20,1987,11,162,0.08152994464016104
