set_type,set_type_count,norm_bpm,count,proportion
train,2818,0.80625,25,0.008871540099361249
train,2818,0.8125,25,0.008871540099361249
train,2818,0.81875,25,0.008871540099361249
train,2818,0.825,25,0.008871540099361249
train,2818,0.83125,25,0.008871540099361249
train,2818,0.8375,25,0.008871540099361249
train,2818,0.84375,25,0.008871540099361249
train,2818,0.85,21,0.00745209368346345
valid,604,0.0,13,0.02152317880794702
valid,604,0.00625,13,0.02152317880794702
valid,604,0.0125,13,0.02152317880794702
valid,604,0.01875,12,0.019867549668874173
valid,604,0.025,12,0.019867549668874173
valid,604,0.03125,12,0.019867549668874173
valid,604,0.0375,13,0.02152317880794702
valid,604,0.04375,13,0.02152317880794702
valid,604,0.05,13,0.02152317880794702
valid,604,0.05625,12,0.019867549668874173
valid,604,0.0625,12,0.019867549668874173
valid,604,0.06875,12,0.019867549668874173
valid,604,0.075,13,0.02152317880794702
valid,604,0.08125,13,0.02152317880794702
valid,604,0.0875,13,0.02152317880794702
valid,604,0.09375,12,0.019867549668874173
valid,604,0.1,12,0.019867549668874173
valid,604,0.10625,12,0.019867549668874173
valid,604,0.1125,13,0.02152317880794702
valid,604,0.11875,13,0.02152317880794702
valid,604,0.125,13,0.02152317880794702
valid,604,0.13125,12,0.019867549668874173
valid,604,0.1375,12,0.019867549668874173
valid,604,0.14375,12,0.019867549668874173
valid,604,0.15,3,0.004966887417218543
valid,604,0.85,1,0.0016556291390728477
valid,604,0.85625,13,0.02152317880794702
valid,604,0.8625,13,0.02152317880794702
valid,604,0.86875,12,0.019867549668874173
valid,604,0.875,12,0.019867549668874173
valid,604,0.88125,12,0.019867549668874173
valid,604,0.8875,13,0.02152317880794702
valid,604,0.89375,13,0.02152317880794702
valid,604,0.9,13,0.02152317880794702
valid,604,0.90625,12,0.019867549668874173
valid,604,0.9125,12,0.019867549668874173
valid,604,0.91875,12,0.019867549668874173
valid,604,0.925,13,0.02152317880794702
valid,604,0.93125,13,0.02152317880794702
valid,604,0.9375,13,0.02152317880794702
valid,604,0.94375,12,0.019867549668874173
valid,604,0.95,12,0.019867549668874173
valid,604,0.95625,12,0.019867549668874173
valid,604,0.9625,13,0.02152317880794702
valid,604,0.96875,13,0.02152317880794702
valid,604,0.975,13,0.02152317880794702
valid,604,0.98125,12,0.019867549668874173
valid,604,0.9875,12,0.019867549668874173
valid,604,0.99375,12,0.019867549668874173
valid,604,1.0,13,0.02152317880794702
