fold,fold_count,root_note_name,count,proportion
6,497,G,41,0.0824949698189135
6,497,G#,42,0.08450704225352114
7,497,A,41,0.0824949698189135
7,497,A#,42,0.08450704225352114
7,497,B,41,0.0824949698189135
7,497,C,42,0.08450704225352114
7,497,C#,41,0.0824949698189135
7,497,D,41,0.0824949698189135
7,497,D#,42,0.08450704225352114
7,497,E,41,0.0824949698189135
7,497,F,42,0.08450704225352114
7,497,F#,41,0.0824949698189135
7,497,G,41,0.0824949698189135
7,497,G#,42,0.08450704225352114
8,497,A,41,0.0824949698189135
8,497,A#,42,0.08450704225352114
8,497,B,41,0.0824949698189135
8,497,C,42,0.08450704225352114
8,497,C#,41,0.0824949698189135
8,497,D,41,0.0824949698189135
8,497,D#,42,0.08450704225352114
8,497,E,41,0.0824949698189135
8,497,F,42,0.08450704225352114
8,497,F#,41,0.0824949698189135
8,497,G,41,0.0824949698189135
8,497,G#,42,0.08450704225352114
9,497,A,41,0.0824949698189135
9,497,A#,41,0.0824949698189135
9,497,B,42,0.08450704225352114
9,497,C,41,0.0824949698189135
9,497,C#,42,0.08450704225352114
9,497,D,41,0.0824949698189135
9,497,D#,42,0.08450704225352114
9,497,E,41,0.0824949698189135
9,497,F,41,0.0824949698189135
9,497,F#,42,0.08450704225352114
9,497,G,41,0.0824949698189135
9,497,G#,42,0.08450704225352114
10,497,A,41,0.0824949698189135
10,497,A#,41,0.0824949698189135
10,497,B,42,0.08450704225352114
10,497,C,41,0.0824949698189135
10,497,C#,42,0.08450704225352114
10,497,D,41,0.0824949698189135
10,497,D#,42,0.08450704225352114
10,497,E,41,0.0824949698189135
10,497,F,41,0.0824949698189135
10,497,F#,42,0.08450704225352114
10,497,G,41,0.0824949698189135
10,497,G#,42,0.08450704225352114
11,497,A,41,0.0824949698189135
11,497,A#,41,0.0824949698189135
11,497,B,42,0.08450704225352114
11,497,C,41,0.0824949698189135
11,497,C#,42,0.08450704225352114
11,497,D,41,0.0824949698189135
11,497,D#,42,0.08450704225352114
11,497,E,41,0.0824949698189135
11,497,F,41,0.0824949698189135
11,497,F#,42,0.08450704225352114
11,497,G,41,0.0824949698189135
11,497,G#,42,0.08450704225352114
12,497,A,41,0.0824949698189135
12,497,A#,41,0.0824949698189135
12,497,B,42,0.08450704225352114
12,497,C,41,0.0824949698189135
12,497,C#,42,0.08450704225352114
12,497,D,41,0.0824949698189135
12,497,D#,42,0.08450704225352114
12,497,E,41,0.0824949698189135
12,497,F,41,0.0824949698189135
12,497,F#,42,0.08450704225352114
12,497,G,41,0.0824949698189135
12,497,G#,42,0.08450704225352114
13,497,A,42,0.08450704225352114
13,497,A#,41,0.0824949698189135
13,497,B,42,0.08450704225352114
13,497,C,41,0.0824949698189135
13,497,C#,42,0.08450704225352114
13,497,D,41,0.0824949698189135
13,497,D#,41,0.0824949698189135
13,497,E,42,0.08450704225352114
13,497,F,41,0.0824949698189135
13,497,F#,42,0.08450704225352114
13,497,G,41,0.0824949698189135
13,497,G#,41,0.0824949698189135
14,497,A,42,0.08450704225352114
14,497,A#,41,0.0824949698189135
14,497,B,42,0.08450704225352114
14,497,C,41,0.0824949698189135
14,497,C#,42,0.08450704225352114
14,497,D,41,0.0824949698189135
14,497,D#,41,0.0824949698189135
14,497,E,42,0.08450704225352114
14,497,F,41,0.0824949698189135
14,497,F#,42,0.08450704225352114
14,497,G,41,0.0824949698189135
14,497,G#,41,0.0824949698189135
15,497,A,42,0.08450704225352114
15,497,A#,41,0.0824949698189135
15,497,B,42,0.08450704225352114
15,497,C,41,0.0824949698189135
15,497,C#,42,0.08450704225352114
15,497,D,41,0.0824949698189135
15,497,D#,41,0.0824949698189135
15,497,E,42,0.08450704225352114
15,497,F,41,0.0824949698189135
15,497,F#,42,0.08450704225352114
15,497,G,41,0.0824949698189135
15,497,G#,41,0.0824949698189135
16,497,A,42,0.08450704225352114
16,497,A#,41,0.0824949698189135
16,497,B,42,0.08450704225352114
16,497,C,41,0.0824949698189135
16,497,C#,42,0.08450704225352114
16,497,D,41,0.0824949698189135
16,497,D#,41,0.0824949698189135
16,497,E,42,0.08450704225352114
16,497,F,41,0.0824949698189135
16,497,F#,42,0.08450704225352114
16,497,G,41,0.0824949698189135
16,497,G#,41,0.0824949698189135
17,496,A,42,0.0846774193548387
17,496,A#,41,0.08266129032258064
17,496,B,41,0.08266129032258064
17,496,C,41,0.08266129032258064
17,496,C#,41,0.08266129032258064
17,496,D,42,0.0846774193548387
17,496,D#,41,0.08266129032258064
17,496,E,42,0.0846774193548387
17,496,F,41,0.08266129032258064
17,496,F#,41,0.08266129032258064
17,496,G,42,0.0846774193548387
17,496,G#,41,0.08266129032258064
18,496,A,42,0.0846774193548387
18,496,A#,41,0.08266129032258064
18,496,B,41,0.08266129032258064
18,496,C,41,0.08266129032258064
18,496,C#,41,0.08266129032258064
18,496,D,42,0.0846774193548387
18,496,D#,41,0.08266129032258064
18,496,E,42,0.0846774193548387
18,496,F,41,0.08266129032258064
18,496,F#,41,0.08266129032258064
18,496,G,42,0.0846774193548387
18,496,G#,41,0.08266129032258064
19,496,A,42,0.0846774193548387
19,496,A#,41,0.08266129032258064
19,496,B,41,0.08266129032258064
19,496,C,41,0.08266129032258064
19,496,C#,41,0.08266129032258064
19,496,D,42,0.0846774193548387
19,496,D#,41,0.08266129032258064
19,496,E,42,0.0846774193548387
19,496,F,41,0.08266129032258064
19,496,F#,41,0.08266129032258064
19,496,G,42,0.0846774193548387
19,496,G#,41,0.08266129032258064
20,496,A,42,0.0846774193548387
20,496,A#,41,0.08266129032258064
20,496,B,41,0.08266129032258064
20,496,C,41,0.08266129032258064
20,496,C#,41,0.08266129032258064
20,496,D,42,0.0846774193548387
20,496,D#,41,0.08266129032258064
20,496,E,42,0.0846774193548387
20,496,F,41,0.08266129032258064
20,496,F#,41,0.08266129032258064
20,496,G,42,0.0846774193548387
20,496,G#,41,0.08266129032258064
