fold,fold_count,key_note_name,count,proportion
10,1049,G,83,0.07912297426120114
10,1049,G#,89,0.08484270734032412
11,1049,A,77,0.07340324118207817
11,1049,A#,96,0.09151572926596759
11,1049,B,86,0.08198284080076262
11,1049,C,102,0.09723546234509056
11,1049,C#,91,0.08674928503336511
11,1049,D,91,0.08674928503336511
11,1049,D#,88,0.08388941849380362
11,1049,E,69,0.0657769304099142
11,1049,F,86,0.08198284080076262
11,1049,F#,89,0.08484270734032412
11,1049,G,83,0.07912297426120114
11,1049,G#,91,0.08674928503336511
12,1049,A,87,0.08293612964728313
12,1049,A#,95,0.0905624404194471
12,1049,B,87,0.08293612964728313
12,1049,C,89,0.08484270734032412
12,1049,C#,103,0.09818875119161105
12,1049,D,85,0.08102955195424213
12,1049,D#,78,0.07435653002859867
12,1049,E,93,0.0886558627264061
12,1049,F,96,0.09151572926596759
12,1049,F#,77,0.07340324118207817
12,1049,G,81,0.07721639656816015
12,1049,G#,78,0.07435653002859867
13,1049,A,85,0.08102955195424213
13,1049,A#,94,0.08960915157292659
13,1049,B,99,0.09437559580552907
13,1049,C,86,0.08198284080076262
13,1049,C#,71,0.06768350810295519
13,1049,D,76,0.07244995233555768
13,1049,D#,93,0.0886558627264061
13,1049,E,83,0.07912297426120114
13,1049,F,98,0.09342230695900858
13,1049,F#,82,0.07816968541468064
13,1049,G,94,0.08960915157292659
13,1049,G#,88,0.08388941849380362
14,1049,A,72,0.06863679694947569
14,1049,A#,85,0.08102955195424213
14,1049,B,87,0.08293612964728313
14,1049,C,87,0.08293612964728313
14,1049,C#,93,0.0886558627264061
14,1049,D,97,0.09246901811248807
14,1049,D#,88,0.08388941849380362
14,1049,E,77,0.07340324118207817
14,1049,F,91,0.08674928503336511
14,1049,F#,93,0.0886558627264061
14,1049,G,90,0.08579599618684461
14,1049,G#,89,0.08484270734032412
15,1049,A,79,0.07530981887511916
15,1049,A#,94,0.08960915157292659
15,1049,B,96,0.09151572926596759
15,1049,C,87,0.08293612964728313
15,1049,C#,88,0.08388941849380362
15,1049,D,85,0.08102955195424213
15,1049,D#,90,0.08579599618684461
15,1049,E,98,0.09342230695900858
15,1049,F,77,0.07340324118207817
15,1049,F#,88,0.08388941849380362
15,1049,G,86,0.08198284080076262
15,1049,G#,81,0.07721639656816015
16,1049,A,104,0.09914204003813155
16,1049,A#,79,0.07530981887511916
16,1049,B,89,0.08484270734032412
16,1049,C,91,0.08674928503336511
16,1049,C#,72,0.06863679694947569
16,1049,D,87,0.08293612964728313
16,1049,D#,89,0.08484270734032412
16,1049,E,87,0.08293612964728313
16,1049,F,88,0.08388941849380362
16,1049,F#,91,0.08674928503336511
16,1049,G,92,0.0877025738798856
16,1049,G#,80,0.07626310772163966
17,1048,A,86,0.08206106870229007
17,1048,A#,83,0.07919847328244274
17,1048,B,86,0.08206106870229007
17,1048,C,95,0.09064885496183206
17,1048,C#,83,0.07919847328244274
17,1048,D,82,0.0782442748091603
17,1048,D#,83,0.07919847328244274
17,1048,E,83,0.07919847328244274
17,1048,F,89,0.08492366412213741
17,1048,F#,89,0.08492366412213741
17,1048,G,97,0.09255725190839695
17,1048,G#,92,0.08778625954198473
18,1048,A,92,0.08778625954198473
18,1048,A#,90,0.08587786259541984
18,1048,B,80,0.07633587786259542
18,1048,C,85,0.08110687022900763
18,1048,C#,77,0.07347328244274809
18,1048,D,86,0.08206106870229007
18,1048,D#,93,0.08874045801526717
18,1048,E,87,0.08301526717557252
18,1048,F,83,0.07919847328244274
18,1048,F#,81,0.07729007633587787
18,1048,G,101,0.09637404580152671
18,1048,G#,93,0.08874045801526717
19,1048,A,80,0.07633587786259542
19,1048,A#,78,0.07442748091603053
19,1048,B,104,0.09923664122137404
19,1048,C,88,0.08396946564885496
19,1048,C#,86,0.08206106870229007
19,1048,D,79,0.07538167938931298
19,1048,D#,102,0.09732824427480916
19,1048,E,90,0.08587786259541984
19,1048,F,99,0.09446564885496182
19,1048,F#,81,0.07729007633587787
19,1048,G,84,0.08015267175572519
19,1048,G#,77,0.07347328244274809
20,1048,A,82,0.0782442748091603
20,1048,A#,84,0.08015267175572519
20,1048,B,88,0.08396946564885496
20,1048,C,89,0.08492366412213741
20,1048,C#,94,0.08969465648854962
20,1048,D,103,0.0982824427480916
20,1048,D#,82,0.0782442748091603
20,1048,E,88,0.08396946564885496
20,1048,F,76,0.07251908396946564
20,1048,F#,68,0.0648854961832061
20,1048,G,97,0.09255725190839695
20,1048,G#,97,0.09255725190839695
