fold,fold_count,octave,count,proportion
19,496,3,48,0.0967741935483871
19,496,4,69,0.13911290322580644
19,496,5,56,0.11290322580645161
19,496,6,51,0.10282258064516128
19,496,7,48,0.0967741935483871
19,496,8,63,0.12701612903225806
20,496,0,39,0.07862903225806452
20,496,1,66,0.13306451612903225
20,496,2,69,0.13911290322580644
20,496,3,51,0.10282258064516128
20,496,4,48,0.0967741935483871
20,496,5,56,0.11290322580645161
20,496,6,60,0.12096774193548387
20,496,7,58,0.11693548387096774
20,496,8,49,0.09879032258064516
