set_type,set_type_count,midi_program_num,count,proportion
valid,1986,54,20,0.010070493454179255
valid,1986,56,27,0.013595166163141994
valid,1986,57,27,0.013595166163141994
valid,1986,58,18,0.00906344410876133
valid,1986,59,26,0.013091641490433032
valid,1986,60,24,0.012084592145015106
valid,1986,61,18,0.00906344410876133
valid,1986,62,15,0.007552870090634441
valid,1986,63,20,0.010070493454179255
valid,1986,64,33,0.01661631419939577
valid,1986,65,30,0.015105740181268881
valid,1986,66,25,0.012588116817724069
valid,1986,67,23,0.011581067472306143
valid,1986,68,18,0.00906344410876133
valid,1986,69,22,0.01107754279959718
valid,1986,70,21,0.010574018126888218
valid,1986,71,22,0.01107754279959718
valid,1986,72,16,0.008056394763343404
valid,1986,73,20,0.010070493454179255
valid,1986,74,21,0.010574018126888218
valid,1986,75,23,0.011581067472306143
valid,1986,76,20,0.010070493454179255
valid,1986,79,18,0.00906344410876133
valid,1986,80,25,0.012588116817724069
valid,1986,81,29,0.01460221550855992
valid,1986,82,27,0.013595166163141994
valid,1986,83,17,0.008559919436052367
valid,1986,84,17,0.008559919436052367
valid,1986,85,28,0.014098690835850957
valid,1986,87,15,0.007552870090634441
valid,1986,88,24,0.012084592145015106
valid,1986,89,23,0.011581067472306143
valid,1986,90,18,0.00906344410876133
valid,1986,91,33,0.01661631419939577
valid,1986,92,24,0.012084592145015106
valid,1986,93,25,0.012588116817724069
valid,1986,94,19,0.009566968781470292
valid,1986,95,20,0.010070493454179255
valid,1986,104,26,0.013091641490433032
valid,1986,105,27,0.013595166163141994
valid,1986,106,26,0.013091641490433032
valid,1986,107,20,0.010070493454179255
valid,1986,108,27,0.013595166163141994
valid,1986,109,17,0.008559919436052367
valid,1986,110,24,0.012084592145015106
valid,1986,111,21,0.010574018126888218
