fold,fold_count,root_note_pitch_class,count,proportion
19,662,5,62,0.09365558912386707
19,662,6,62,0.09365558912386707
19,662,7,52,0.07854984894259819
19,662,8,57,0.08610271903323263
19,662,9,43,0.0649546827794562
19,662,10,61,0.09214501510574018
19,662,11,51,0.0770392749244713
20,662,0,63,0.09516616314199396
20,662,1,52,0.07854984894259819
20,662,2,62,0.09365558912386707
20,662,3,53,0.08006042296072508
20,662,4,57,0.08610271903323263
20,662,5,46,0.06948640483383686
20,662,6,54,0.08157099697885196
20,662,7,50,0.0755287009063444
20,662,8,50,0.0755287009063444
20,662,9,53,0.08006042296072508
20,662,10,59,0.0891238670694864
20,662,11,63,0.09516616314199396
