set_type,set_type_count,midi_program_name,count,proportion
test,3144,String Ensemble 1,31,0.009860050890585243
test,3144,String Ensemble 2,35,0.0111323155216285
test,3144,Sweep Pad,40,0.012722646310432571
test,3144,Synth Bass 1,28,0.008905852417302799
test,3144,Synth Bass 2,29,0.009223918575063614
test,3144,Synth Brass 1,38,0.012086513994910942
test,3144,Synth Brass 2,32,0.010178117048346057
test,3144,Synth Strings 1,37,0.011768447837150128
test,3144,Synth Strings 2,33,0.01049618320610687
test,3144,Synth Voice,45,0.014312977099236643
test,3144,Tenor Sax,40,0.012722646310432571
test,3144,Tremolo Strings,31,0.009860050890585243
test,3144,Trombone,40,0.012722646310432571
test,3144,Trumpet,30,0.009541984732824428
test,3144,Tuba,30,0.009541984732824428
test,3144,Vibraphone,25,0.007951653944020356
test,3144,Viola,31,0.009860050890585243
test,3144,Violin,38,0.012086513994910942
test,3144,Voice Lead,34,0.010814249363867686
test,3144,Warm Pad,44,0.013994910941475827
test,3144,Xylophone,29,0.009223918575063614
train,14686,Acoustic Bass,151,0.010281901130328203
train,14686,Acoustic Grand Piano,155,0.010554269372191201
train,14686,Acoustic Nylon Guitar,161,0.0109628217349857
train,14686,Acoustic Steel Guitar,155,0.010554269372191201
train,14686,Alto Sax,156,0.01062236143265695
train,14686,Bagpipe,153,0.010418085251259703
train,14686,Banjo,166,0.011303282037314448
train,14686,Baritone Sax,156,0.01062236143265695
train,14686,Bass Lead,164,0.01116709791638295
train,14686,Bassoon,159,0.0108266376140542
train,14686,Bottle Blow,155,0.010554269372191201
train,14686,Bowed Pad,161,0.0109628217349857
train,14686,Brass Section,163,0.011099005855917199
train,14686,Bright Acoustic Piano,163,0.011099005855917199
train,14686,Calliope Lead,163,0.011099005855917199
train,14686,Cello,165,0.011235189976848699
train,14686,Charang Lead,153,0.010418085251259703
train,14686,Chiff Lead,156,0.01062236143265695
train,14686,"Choir ""Aah""",170,0.011575650279177447
train,14686,"Choir ""Ooh""",154,0.010486177311725452
train,14686,Choir Pad,160,0.01089472967451995
train,14686,Chorused Piano,154,0.010486177311725452
train,14686,Church Organ,168,0.011439466158245948
train,14686,Clarinet,161,0.0109628217349857
train,14686,Clavinet,157,0.010690453493122701
train,14686,Contrabass,138,0.009396704344273457
train,14686,Distortion Guitar,147,0.010009532888465204
train,14686,Dulcimer,162,0.01103091379545145
train,14686,Electric Clean Guitar,162,0.01103091379545145
train,14686,Electric Grand Piano,155,0.010554269372191201
train,14686,Electric Jazz Guitar,173,0.011779926460574696
train,14686,Electric Muted Guitar,163,0.011099005855917199
train,14686,English Horn,165,0.011235189976848699
train,14686,Fiddle,163,0.011099005855917199
train,14686,Fingered Electric Bass,153,0.010418085251259703
train,14686,Flute,165,0.011235189976848699
train,14686,French Horn,160,0.01089472967451995
train,14686,Fretless Bass,157,0.010690453493122701
train,14686,Halo Pad,170,0.011575650279177447
train,14686,Hammond Organ,167,0.011371374097780197
train,14686,Harpsichord,152,0.010349993190793952
train,14686,Honky-tonk Piano,158,0.01075854555358845
train,14686,Kalimba,148,0.010077624948930953
train,14686,Koto,159,0.0108266376140542
train,14686,Marimba,155,0.010554269372191201
train,14686,Metallic Pad,159,0.0108266376140542
train,14686,Music Box,185,0.012597031186163692
train,14686,Muted Trumpet,165,0.011235189976848699
train,14686,New Age Pad,163,0.011099005855917199
train,14686,Oboe,165,0.011235189976848699
train,14686,Ocarina,154,0.010486177311725452
train,14686,Orchestral Harp,164,0.01116709791638295
train,14686,Overdriven Guitar,156,0.01062236143265695
train,14686,Pan Flute,152,0.010349993190793952
train,14686,Percussive Organ,153,0.010418085251259703
train,14686,Piccolo,157,0.010690453493122701
train,14686,Pizzicato Strings,162,0.01103091379545145
train,14686,Plucked Electric Bass,170,0.011575650279177447
train,14686,Polysynth Pad,165,0.011235189976848699
train,14686,Recorder,165,0.011235189976848699
train,14686,Reed Organ,156,0.01062236143265695
train,14686,Rhodes Piano,159,0.0108266376140542
train,14686,Rock Organ,163,0.011099005855917199
train,14686,Sawtooth Wave Lead,151,0.010281901130328203
train,14686,Shamisen,151,0.010281901130328203
train,14686,Shanai,163,0.011099005855917199
train,14686,Sitar,162,0.01103091379545145
train,14686,Slap Bass 1,166,0.011303282037314448
train,14686,Slap Bass 2,156,0.01062236143265695
train,14686,Soprano Sax,161,0.0109628217349857
train,14686,Square Wave Lead,162,0.01103091379545145
train,14686,String Ensemble 1,172,0.011711834400108947
train,14686,String Ensemble 2,157,0.010690453493122701
train,14686,Sweep Pad,144,0.009805256707067955
train,14686,Synth Bass 1,162,0.01103091379545145
train,14686,Synth Bass 2,159,0.0108266376140542
train,14686,Synth Brass 1,159,0.0108266376140542
train,14686,Synth Brass 2,161,0.0109628217349857
train,14686,Synth Strings 1,155,0.010554269372191201
train,14686,Synth Strings 2,161,0.0109628217349857
train,14686,Synth Voice,157,0.010690453493122701
train,14686,Tenor Sax,151,0.010281901130328203
train,14686,Tremolo Strings,159,0.0108266376140542
train,14686,Trombone,165,0.011235189976848699
train,14686,Trumpet,171,0.011643742339643196
train,14686,Tuba,161,0.0109628217349857
train,14686,Vibraphone,157,0.010690453493122701
train,14686,Viola,172,0.011711834400108947
train,14686,Violin,153,0.010418085251259703
train,14686,Voice Lead,159,0.0108266376140542
train,14686,Warm Pad,153,0.010418085251259703
train,14686,Xylophone,162,0.01103091379545145
valid,3146,Acoustic Bass,40,0.012714558169103624
valid,3146,Acoustic Grand Piano,39,0.012396694214876033
valid,3146,Acoustic Nylon Guitar,34,0.01080737444373808
valid,3146,Acoustic Steel Guitar,34,0.01080737444373808
valid,3146,Alto Sax,44,0.013986013986013986
valid,3146,Bagpipe,38,0.012078830260648443
valid,3146,Banjo,28,0.008900190718372537
valid,3146,Baritone Sax,38,0.012078830260648443
valid,3146,Bass Lead,33,0.01048951048951049
valid,3146,Bassoon,40,0.012714558169103624
valid,3146,Bottle Blow,37,0.011760966306420852
valid,3146,Bowed Pad,32,0.010171646535282899
valid,3146,Brass Section,33,0.01048951048951049
valid,3146,Bright Acoustic Piano,30,0.009535918626827717
valid,3146,Calliope Lead,33,0.01048951048951049
valid,3146,Cello,26,0.008264462809917356
valid,3146,Charang Lead,33,0.01048951048951049
valid,3146,Chiff Lead,39,0.012396694214876033
valid,3146,"Choir ""Aah""",31,0.009853782581055308
valid,3146,"Choir ""Ooh""",41,0.013032422123331215
valid,3146,Choir Pad,31,0.009853782581055308
valid,3146,Chorused Piano,35,0.011125238397965672
valid,3146,Church Organ,29,0.009218054672600126
valid,3146,Clarinet,35,0.011125238397965672
valid,3146,Clavinet,33,0.01048951048951049
valid,3146,Contrabass,40,0.012714558169103624
valid,3146,Distortion Guitar,40,0.012714558169103624
valid,3146,Dulcimer,41,0.013032422123331215
valid,3146,Electric Clean Guitar,32,0.010171646535282899
valid,3146,Electric Grand Piano,28,0.008900190718372537
valid,3146,Electric Jazz Guitar,26,0.008264462809917356
valid,3146,Electric Muted Guitar,35,0.011125238397965672
valid,3146,English Horn,31,0.009853782581055308
valid,3146,Fiddle,27,0.008582326764144946
valid,3146,Fingered Electric Bass,40,0.012714558169103624
valid,3146,Flute,33,0.01048951048951049
valid,3146,French Horn,32,0.010171646535282899
valid,3146,Fretless Bass,40,0.012714558169103624
valid,3146,Halo Pad,30,0.009535918626827717
valid,3146,Hammond Organ,31,0.009853782581055308
valid,3146,Harpsichord,39,0.012396694214876033
valid,3146,Honky-tonk Piano,34,0.01080737444373808
valid,3146,Kalimba,32,0.010171646535282899
valid,3146,Koto,37,0.011760966306420852
valid,3146,Marimba,35,0.011125238397965672
valid,3146,Metallic Pad,41,0.013032422123331215
valid,3146,Music Box,24,0.007628734901462174
valid,3146,Muted Trumpet,34,0.01080737444373808
valid,3146,New Age Pad,30,0.009535918626827717
valid,3146,Oboe,35,0.011125238397965672
valid,3146,Ocarina,34,0.01080737444373808
valid,3146,Orchestral Harp,36,0.01144310235219326
valid,3146,Overdriven Guitar,30,0.009535918626827717
valid,3146,Pan Flute,44,0.013986013986013986
valid,3146,Percussive Organ,27,0.008582326764144946
valid,3146,Piccolo,41,0.013032422123331215
valid,3146,Pizzicato Strings,33,0.01048951048951049
valid,3146,Plucked Electric Bass,29,0.009218054672600126
valid,3146,Polysynth Pad,35,0.011125238397965672
valid,3146,Recorder,30,0.009535918626827717
valid,3146,Reed Organ,40,0.012714558169103624
valid,3146,Rhodes Piano,34,0.01080737444373808
valid,3146,Rock Organ,26,0.008264462809917356
valid,3146,Sawtooth Wave Lead,34,0.01080737444373808
valid,3146,Shamisen,41,0.013032422123331215
valid,3146,Shanai,36,0.01144310235219326
valid,3146,Sitar,31,0.009853782581055308
valid,3146,Slap Bass 1,32,0.010171646535282899
valid,3146,Slap Bass 2,32,0.010171646535282899
valid,3146,Soprano Sax,35,0.011125238397965672
valid,3146,Square Wave Lead,35,0.011125238397965672
valid,3146,String Ensemble 1,25,0.007946598855689765
valid,3146,String Ensemble 2,36,0.01144310235219326
valid,3146,Sweep Pad,44,0.013986013986013986
valid,3146,Synth Bass 1,38,0.012078830260648443
valid,3146,Synth Bass 2,40,0.012714558169103624
valid,3146,Synth Brass 1,31,0.009853782581055308
valid,3146,Synth Brass 2,35,0.011125238397965672
valid,3146,Synth Strings 1,36,0.01144310235219326
valid,3146,Synth Strings 2,34,0.01080737444373808
valid,3146,Synth Voice,26,0.008264462809917356
valid,3146,Tenor Sax,37,0.011760966306420852
valid,3146,Tremolo Strings,38,0.012078830260648443
valid,3146,Trombone,23,0.007310870947234584
valid,3146,Trumpet,27,0.008582326764144946
valid,3146,Tuba,37,0.011760966306420852
valid,3146,Vibraphone,46,0.014621741894469168
valid,3146,Viola,25,0.007946598855689765
valid,3146,Violin,37,0.011760966306420852
valid,3146,Voice Lead,35,0.011125238397965672
valid,3146,Warm Pad,31,0.009853782581055308
valid,3146,Xylophone,37,0.011760966306420852
